latitude,longitude,site_name,score
15.34,73.93,"Karwar, Goa/Karnataka",85.2
13.62,80.22,"Pulicat, AP",82.8
8.2,77.45,"Manavalakurichi, TN",82.5
9.58,76.35,"Kayamkulam, Kerala",80.6
19.3,85.02,"Dhamra, Odisha",77.6
11.92,79.83,Pondicherry Coast,75.0
14.9,80.27,"Nellore Coast, AP",74.5
